Chrom	BOPA_C	cM_NAI	aliases	annotation
1H	12_30969	0	none	none
1H	11_11223	0.75	none	none
1H	11_21354	0.77	none	none
1H	12_11311	0.95	none	none
1H	11_10460	0.95	none	none
1H	12_30715	1.51	none	none
1H	11_21067	1.51	none	none
1H	11_20502	1.51	none	none
1H	12_31144	3.75	none	none
1H	12_10410	3.75	none	none
1H	11_10419	3.75	none	none
1H	12_10636	4.51	none	none
1H	12_11011	6.03	none	none
1H	12_30933	6.03	none	none
1H	11_21174	8.29	none	none
1H	11_21226	8.77	none	none
1H	12_31149	10.67	none	none
1H	12_30950	10.67	none	none
1H	12_30919	10.67	none	none
1H	12_30951	11.42	none	none
1H	12_30952	11.42	none	none
1H	12_30918	11.42	none	none
1H	12_30588	13.05	none	none
1H	12_30955	15.3	none	none
1H	11_10332	15.4	none	none
1H	11_20749	17.26	none	none
1H	12_30948	17.26	none	none
1H	11_10775	17.26	none	none
1H	11_10030	18.05	none	none
1H	11_20371	18.05	none	none
1H	12_30876	18.55	none	none
1H	12_30241	20.82	none	none
1H	11_20712	20.82	none	none
1H	11_10873	20.89	none	none
1H	11_10186	23.86	none	none
1H	11_10757	23.86	none	none
1H	11_10744	26.11	none	none
1H	11_21048	26.58	none	none
1H	12_31276	27.35	none	none
1H	11_20617	33.61	none	none
1H	11_10760	34.83	none	none
1H	11_10814	35.45	none	none
1H	12_31177	36.95	none	none
1H	12_11357	36.95	none	none
1H	11_21072	36.95	none	none
1H	11_10238	36.95	none	none
1H	12_11498	40.99	none	none
1H	11_10764	40.99	none	none
1H	12_30336	41.76	none	none
1H	11_10597	42.52	none	none
1H	11_10275	42.52	none	none
1H	12_30268	42.52	none	none
1H	12_11266	42.52	none	none
1H	11_20514	42.52	none	none
1H	11_21134	43.28	none	none
1H	12_10314	45.13	none	none
1H	12_30796	47.47	none	none
1H	11_10294	47.47	none	none
1H	11_10259	47.47	none	none
1H	11_10526	47.47	none	none
1H	12_31467	47.47	none	none
1H	12_30683	47.47	none	none
1H	12_10235	47.47	none	none
