Brach chrom	Brach gene	Start	aliases	annotation
1	Bradi1g00200	10581	none	none
1	Bradi1g00210	18479	none	none
1	Bradi1g00220	55668	none	none
1	Bradi1g00230	59775	none	none
1	Bradi1g00240	98978	none	none
1	Bradi1g00250	106283	none	none
1	Bradi1g00260	113302	none	none
1	Bradi1g00270	123699	none	none
1	Bradi1g00280	126302	none	none
1	Bradi1g00290	150594	none	none
1	Bradi1g00300	173241	none	none
1	Bradi1g00310	201331	none	none
1	Bradi1g00320	221297	none	none
1	Bradi1g00330	228601	none	none
1	Bradi1g00340	245977	none	none
1	Bradi1g00350	282694	none	none
1	Bradi1g00360	284014	none	none
1	Bradi1g00370	306058	none	none
1	Bradi1g00380	309730	none	none
1	Bradi1g00390	324003	none	none
1	Bradi1g00400	334416	none	none
1	Bradi1g00410	339778	none	none
1	Bradi1g00420	370424	none	none
1	Bradi1g00430	373881	none	none
1	Bradi1g00440	379610	none	none
1	Bradi1g00450	383621	none	none
1	Bradi1g00460	388064	none	none
1	Bradi1g00470	399150	none	none
1	Bradi1g00480	400545	none	none
1	Bradi1g00490	411505	none	none
1	Bradi1g00500	413606	none	none
1	Bradi1g00510	422744	none	none
1	Bradi1g00520	425645	none	none
1	Bradi1g00530	435299	none	none
1	Bradi1g00540	440902	none	none
1	Bradi1g00550	442977	none	none
1	Bradi1g00560	445389	none	none
1	Bradi1g00570	455508	none	none
1	Bradi1g00580	463748	none	none
1	Bradi1g00590	471949	none	none
1	Bradi1g00600	481193	none	none
1	Bradi1g00610	485183	none	none
1	Bradi1g00620	500221	none	none
1	Bradi1g00630	502638	none	none
1	Bradi1g00640	504334	none	none
1	Bradi1g00650	515951	none	none
1	Bradi1g00660	517657	none	none
1	Bradi1g00670	521659	none	none
1	Bradi1g00680	524309	none	none
1	Bradi1g00690	534432	none	none
1	Bradi1g00700	542752	none	none
1	Bradi1g00710	545789	none	none
1	Bradi1g00720	552185	none	none
1	Bradi1g00730	555714	none	none
1	Bradi1g00740	558038	none	none
1	Bradi1g00750	560682	none	none
1	Bradi1g00760	565638	none	none
1	Bradi1g00770	577726	none	none
1	Bradi1g00780	579859	none	none
1	Bradi1g00790	586495	none	none
1	Bradi1g00800	590133	none	none
1	Bradi1g00810	591502	none	none
1	Bradi1g00820	594047	none	none
1	Bradi1g00830	599949	none	none
1	Bradi1g00840	605902	none	none
1	Bradi1g00850	610622	none	none
1	Bradi1g00860	616212	none	none
1	Bradi1g00870	621420	none	none
1	Bradi1g00880	623143	none	none
1	Bradi1g00890	625801	none	none
1	Bradi1g00900	637592	none	none
1	Bradi1g00910	641380	none	none
1	Bradi1g00920	643677	none	none
1	Bradi1g00930	646726	none	none
1	Bradi1g00940	649585	none	none
1	Bradi1g00950	659999	none	none
1	Bradi1g00960	672678	none	none
1	Bradi1g00970	682482	none	none
1	Bradi1g00980	683100	none	none
1	Bradi1g00990	685588	none	none
1	Bradi1g01000	694578	none	none
1	Bradi1g01010	696537	none	none
1	Bradi1g01020	703730	none	none
1	Bradi1g01030	709517	none	none
1	Bradi1g01040	710464	none	none
1	Bradi1g01050	716725	none	none
1	Bradi1g01060	723127	none	none
1	Bradi1g01070	731428	none	none
1	Bradi1g01080	744088	none	none
1	Bradi1g01090	745282	none	none
1	Bradi1g01100	749903	none	none
1	Bradi1g01110	752513	none	none
1	Bradi1g01120	756392	none	none
1	Bradi1g01130	758757	none	none
1	Bradi1g01140	764088	none	none
1	Bradi1g01150	767475	none	none
1	Bradi1g01160	770537	none	none
1	Bradi1g01170	771426	none	none
1	Bradi1g01180	799120	none	none
1	Bradi1g01190	803024	none	none
1	Bradi1g01200	804996	none	none
1	Bradi1g01210	818291	none	none
1	Bradi1g01220	819972	none	none
1	Bradi1g01230	825588	none	none
1	Bradi1g01240	828717	none	none
1	Bradi1g01250	831228	none	none
1	Bradi1g01260	843158	none	none
1	Bradi1g01270	849415	none	none
1	Bradi1g01280	853354	none	none
1	Bradi1g01290	855651	none	none
1	Bradi1g01300	861268	none	none
1	Bradi1g01310	867639	none	none
1	Bradi1g01320	869129	none	none
1	Bradi1g01330	871738	none	none
1	Bradi1g01340	880773	none	none
1	Bradi1g01350	903156	none	none
1	Bradi1g01360	906504	none	none
1	Bradi1g01370	916889	none	none
1	Bradi1g01380	920907	none	none
1	Bradi1g01390	924688	none	none
1	Bradi1g01400	926984	none	none
1	Bradi1g01410	936810	none	none
1	Bradi1g01420	941315	none	none
1	Bradi1g01430	947594	none	none
1	Bradi1g01440	951447	none	none
1	Bradi1g01450	955737	none	none
1	Bradi1g01460	959794	none	none
1	Bradi1g01470	965514	none	none
1	Bradi1g01480	968299	none	none
1	Bradi1g01490	971208	none	none
1	Bradi1g01500	976919	none	none
1	Bradi1g01510	979647	none	none
1	Bradi1g01520	987539	none	none
1	Bradi1g01530	990927	none	none
1	Bradi1g01540	996230	none	none
1	Bradi1g01550	1009852	none	none
1	Bradi1g01560	1023271	none	none
1	Bradi1g01570	1027798	none	none
1	Bradi1g01580	1030837	none	none
1	Bradi1g01590	1036731	none	none
1	Bradi1g01600	1056189	none	none
1	Bradi1g01610	1059502	none	none
1	Bradi1g01620	1061773	none	none
1	Bradi1g01630	1065581	none	none
1	Bradi1g01640	1073243	none	none
1	Bradi1g01650	1083924	none	none
1	Bradi1g01660	1100829	none	none
1	Bradi1g01670	1103902	none	none
1	Bradi1g01680	1108466	none	none
1	Bradi1g01690	1119504	none	none
1	Bradi1g01700	1133657	none	none
1	Bradi1g01710	1136544	none	none
1	Bradi1g01720	1140243	none	none
1	Bradi1g01730	1145199	none	none
1	Bradi1g01740	1148025	none	none
1	Bradi1g01750	1158816	none	none
1	Bradi1g01760	1166736	none	none
1	Bradi1g01770	1168781	none	none
1	Bradi1g01780	1172331	none	none
1	Bradi1g01790	1175384	none	none
1	Bradi1g01800	1190064	none	none
1	Bradi1g01810	1220060	none	none
1	Bradi1g01820	1224260	none	none
1	Bradi1g01830	1228635	none	none
1	Bradi1g01840	1238217	none	none
1	Bradi1g01850	1247819	none	none
1	Bradi1g01860	1260271	none	none
1	Bradi1g01870	1264099	none	none
1	Bradi1g01880	1280703	none	none
1	Bradi1g01890	1284776	none	none
1	Bradi1g01900	1286516	none	none
1	Bradi1g01910	1294833	none	none
1	Bradi1g01920	1296223	none	none
1	Bradi1g01930	1299525	none	none
1	Bradi1g01940	1307302	none	none
1	Bradi1g01950	1325534	none	none
1	Bradi1g01960	1326994	none	none
1	Bradi1g01970	1333028	none	none
1	Bradi1g01980	1335404	none	none
1	Bradi1g01990	1344404	none	none
1	Bradi1g02000	1349258	none	none
1	Bradi1g02010	1358342	none	none
1	Bradi1g02020	1360999	none	none
1	Bradi1g02030	1367638	none	none
1	Bradi1g02040	1369758	none	none
1	Bradi1g02050	1376363	none	none
1	Bradi1g02060	1397780	none	none
1	Bradi1g02070	1412385	none	none
1	Bradi1g02080	1415598	none	none
1	Bradi1g02090	1419315	none	none
1	Bradi1g02100	1426097	none	none
1	Bradi1g02110	1434336	none	none
1	Bradi1g02120	1437707	none	none
1	Bradi1g02130	1439877	none	none
1	Bradi1g02140	1451829	none	none
1	Bradi1g02150	1460089	none	none
1	Bradi1g02160	1466878	none	none
1	Bradi1g02170	1474157	none	none
1	Bradi1g02180	1480065	none	none
1	Bradi1g02190	1489657	none	none
1	Bradi1g02200	1492990	none	none
1	Bradi1g02210	1502301	none	none
1	Bradi1g02220	1507411	none	none
1	Bradi1g02230	1511526	none	none
1	Bradi1g02240	1515812	none	none
1	Bradi1g02250	1524952	none	none
1	Bradi1g02260	1531193	none	none
1	Bradi1g02270	1533598	none	none
1	Bradi1g02280	1552024	none	none
1	Bradi1g02290	1557876	none	none
1	Bradi1g02300	1563657	none	none
1	Bradi1g02310	1566285	none	none
1	Bradi1g02320	1568419	none	none
1	Bradi1g02330	1569838	none	none
1	Bradi1g02340	1580683	none	none
1	Bradi1g02350	1592159	none	none
1	Bradi1g02360	1609544	none	none
1	Bradi1g02370	1618943	none	none
1	Bradi1g02380	1628444	none	none
1	Bradi1g02390	1633526	none	none
1	Bradi1g02400	1637462	none	none
1	Bradi1g02410	1640336	none	none
1	Bradi1g02420	1645207	none	none
1	Bradi1g02430	1648277	none	none
1	Bradi1g02440	1652466	none	none
1	Bradi1g02450	1656125	none	none
1	Bradi1g02460	1662868	none	none
1	Bradi1g02470	1667508	none	none
1	Bradi1g02480	1677860	none	none
1	Bradi1g02490	1682305	none	none
1	Bradi1g02500	1692889	none	none
1	Bradi1g02510	1701069	none	none
1	Bradi1g02520	1711069	none	none
1	Bradi1g02530	1716617	none	none
1	Bradi1g02540	1719939	none	none
1	Bradi1g02550	1723642	none	none
1	Bradi1g02560	1725935	none	none
1	Bradi1g02570	1728243	none	none
1	Bradi1g02580	1737527	none	none
1	Bradi1g02590	1741308	none	none
1	Bradi1g02600	1744438	none	none
1	Bradi1g02610	1753245	none	none
1	Bradi1g02620	1770538	none	none
1	Bradi1g02630	1779458	none	none
1	Bradi1g02640	1788204	none	none
1	Bradi1g02650	1796835	none	none
1	Bradi1g02660	1803256	none	none
1	Bradi1g02670	1804556	none	none
1	Bradi1g02680	1807763	none	none
1	Bradi1g02690	1815777	none	none
1	Bradi1g02700	1818492	none	none
1	Bradi1g02710	1825731	none	none
1	Bradi1g02720	1828877	none	none
1	Bradi1g02730	1838373	none	none
1	Bradi1g02740	1847216	none	none
1	Bradi1g02750	1849454	none	none
1	Bradi1g02760	1858041	none	none
1	Bradi1g02770	1865088	none	none
1	Bradi1g02780	1873822	none	none
1	Bradi1g02790	1877523	none	none
1	Bradi1g02800	1887336	none	none
1	Bradi1g02810	1898670	none	none
1	Bradi1g02820	1920783	none	none
1	Bradi1g02830	1922706	none	none
1	Bradi1g02840	1926201	none	none
1	Bradi1g02850	1937097	none	none
1	Bradi1g02860	1943963	none	none
1	Bradi1g02870	1946002	none	none
1	Bradi1g02880	1948028	none	none
1	Bradi1g02890	1952187	none	none
1	Bradi1g02900	1956588	none	none
1	Bradi1g02910	1961994	none	none
1	Bradi1g02920	1967865	none	none
1	Bradi1g02930	1972632	none	none
1	Bradi1g02940	1976431	none	none
1	Bradi1g02950	1982931	none	none
1	Bradi1g02960	1988462	none	none
1	Bradi1g02970	1991786	none	none
1	Bradi1g02980	1994721	none	none
1	Bradi1g02990	2003410	none	none
1	Bradi1g03000	2006602	none	none
1	Bradi1g03010	2007892	none	none
1	Bradi1g03020	2014196	none	none
1	Bradi1g03030	2018316	none	none
1	Bradi1g03040	2023426	none	none
1	Bradi1g03050	2027988	none	none
1	Bradi1g03060	2034552	none	none
1	Bradi1g03070	2037903	none	none
1	Bradi1g03080	2039878	none	none
