barley	artificial data	e-value	description
12_30969	1_0001	7.00E-91	none
11_11223	1_0002	6.00E-50	none
11_21354	1_0003	6.00E-25	none
12_11311	1_0004	1.00E-178	none
11_10460	1_0005	6.00E-31	none
12_30715	1_0006	0	none
11_21067	1_0007	1.00E-105	none
11_20502	1_0008	1.00E-112	none
12_31144	1_0009	1.00E-29	none
12_10410	1_0010	0	none
11_10419	1_0011	3.00E-37	none
12_10636	1_0012	0	none
12_11011	1_0013	0	none
12_30933	1_0014	0	none
11_21174	1_0015	5.00E-45	none
11_21226	1_0016	1.00E-180	none
12_31149	1_0017	1.00E-160	none
12_30950	1_0018	1.00E-135	none
12_30919	1_0019	1.00E-121	none
12_30951	1_0020	1.00E-135	none
12_30952	1_0021	1.00E-135	none
12_30918	1_0022	1.00E-121	none
12_30588	1_0023	1.00E-128	none
12_30955	1_0024	0	none
11_10332	1_0025	2.00E-60	none
11_20749	1_0026	0.0000004	none
12_30948	1_0027	0.0000004	none
11_10775	1_0028	3.00E-67	none
11_10030	1_0029	7.00E-70	none
11_20371	1_0030	0	none
12_30876	1_0031	4.00E-37	none
12_30241	1_0032	1.00E-150	none
11_20712	1_0033	0	none
11_10873	1_0034	0	none
11_10186	1_0035	1.00E-109	none
11_10757	1_0036	1.00E-53	none
11_10744	1_0037	1.00E-155	none
11_21048	1_0038	1.00E-45	none
12_31276	1_0039	2.00E-41	none
11_20617	1_0040	1.00E-138	none
11_10760	1_0041	1.00E-134	none
11_10814	1_0042	1.00E-67	none
12_31177	1_0043	1.00E-104	none
12_11357	1_0044	0.000000003	none
11_21072	1_0045	2.00E-84	none
11_10238	1_0046	0	none
12_11498	1_0047	1.00E-148	none
11_10764	1_0048	0	none
12_30336	1_0049	4.00E-46	none
11_10597	1_0050	0	none
11_10275	1_0051	1.00E-106	none
12_30268	1_0052	1.00E-144	none
12_11266	1_0053	0	none
11_20514	1_0054	1.00E-35	none
11_21134	1_0055	1.00E-122	none
12_10314	1_0056	0	none
12_30796	1_0057	1.00E-160	none
11_10294	1_0058	0	none
11_10259	1_0059	3.00E-26	none
11_10526	1_0060	1.00E-88	none
12_31467	1_0061	8.00E-29	none
12_30683	1_0062	0	none
12_10235	1_0063	0	none
11_10957	1_0064	2.00E-73	none
11_11064	1_0065	1.00E-156	none
12_11301	1_0066	1.00E-104	none
11_20855	1_0067	4.00E-69	none
11_10470	1_0068	0	none
12_30438	1_0069	1.00E-105	none
12_10159	1_0070	1.00E-178	none
12_30436	1_0071	0	none
11_11162	1_0072	0	none
12_30762	1_0073	3.00E-92	none
11_11478	1_0074	1.00E-145	none
11_11287	1_0075	0	none
12_30498	1_0076	1.00E-153	none
11_10438	1_0077	4.00E-57	none
12_30562	1_0078	2.00E-30	none
12_10506	1_0079	0	none
11_11336	1_0080	1.00E-102	none
11_20757	1_0081	0	none
12_21408	1_0082	1.00E-176	none
11_20427	1_0083	3.00E-69	none
12_10300	1_0084	7.00E-76	none
12_11036	1_0085	1.00E-84	none
12_30462	1_0086	2.00E-71	none
11_20698	1_0087	1.00E-158	none
12_30043	1_0088	1.00E-158	none
11_20260	1_0089	0	none
12_30404	1_0090	2.00E-96	none
11_21193	1_0091	1.00E-154	none
12_31381	1_0092	0	none
12_31208	1_0093	1.00E-82	none
12_11209	1_0094	3.00E-42	none
12_10938	1_0095	8.00E-89	none
11_11484	1_0096	0	none
11_21357	1_0097	2.00E-92	none
11_10833	1_0098	2.00E-74	none
12_30592	1_0099	0	none
12_30059	1_0100	0	none
11_21312	1_0101	0	none
12_31134	1_0102	0	none
12_11169	1_0103	1.00E-142	none
11_21000	1_0104	1.00E-142	none
11_20810	1_0105	3.00E-78	none
11_20912	1_0106	3.00E-79	none
12_30350	1_0107	1.00E-131	none
12_30774	1_0108	1.00E-120	none
12_11107	1_0109	0	none
12_30522	1_0110	0	none
11_11359	1_0111	1.00E-143	none
12_11217	1_0112	3.00E-72	none
11_21217	1_0113	1.00E-167	none
12_30786	1_0114	1.00E-45	none
12_30672	1_0115	0	none
11_21361	1_0116	6.00E-79	none
11_10933	1_0117	1.00E-99	none
11_10075	1_0118	3.00E-58	none
11_10293	1_0119	0	none
12_30243	1_0120	0	none
11_11256	1_0121	0	none
12_30110	1_0122	0	none
12_30694	1_0123	3.00E-85	none
11_20798	1_0124	1.00E-133	none
12_30406	1_0125	1.00E-55	none
11_10520	1_0126	3.00E-58	none
11_11326	1_0127	0	none
12_30750	1_0128	1.00E-106	none
12_30499	1_0129	1.00E-118	none
12_30478	1_0130	1.00E-157	none
12_30348	1_0131	1.00E-110	none
12_30710	1_0132	4.00E-76	none
11_10324	1_0133	1.00E-179	none
12_10198	1_0134	1.00E-130	none
12_30343	1_0135	2.00E-49	none
11_21053	1_0136	9.00E-57	none
12_30820	1_0137	6.00E-65	none
12_30821	1_0138	6.00E-65	none
11_10552	1_0139	1.00E-170	none
12_11444	1_0140	3.00E-75	none
11_21333	1_0141	0	none
11_10768	1_0142	1.00E-117	none
11_20997	1_0143	3.00E-75	none
12_10201	1_0144	0	none
12_30753	1_0145	3.00E-28	none
12_21463	1_0146	4.00E-85	none
11_10798	1_0147	1.00E-176	none
11_11049	1_0148	1.00E-34	none
12_30304	1_0149	2.00E-33	none
12_30744	1_0150	1.00E-162	none
11_10617	1_0151	0	none
11_10176	1_0152	1.00E-164	none
11_10302	1_0153	1.00E-116	none
12_21131	1_0154	1.00E-99	none
12_31179	1_0155	5.00E-77	none
12_31401	1_0156	1.00E-140	none
11_20432	1_0157	0	none
11_21431	1_0158	1.00E-88	none
11_20642	1_0159	1.00E-168	none
11_10516	1_0160	0	none
11_10043	1_0161	6.00E-35	none
12_30295	1_0162	3.00E-25	none
12_11062	1_0163	0	none
11_20956	1_0164	0	none
12_10960	1_0165	1.00E-117	none
11_11367	1_0166	0	none
12_31464	1_0167	1.00E-128	none
11_21219	1_0168	1.00E-38	none
11_10002	1_0169	1.00E-116	none
11_20290	1_0170	1.00E-179	none
11_20157	1_0171	1.00E-121	none
12_30298	1_0172	5.00E-45	none
12_10166	1_0173	1.00E-167	none
12_20696	1_0174	0	none
12_30505	1_0175	1.00E-109	none
11_11075	1_0176	1.00E-62	none
11_10686	1_0177	7.00E-94	none
11_20229	1_0178	1.00E-160	none
12_30742	1_0179	2.00E-34	none
12_21176	1_0180	1.00E-125	none
11_21057	1_0181	0.000002	none
12_11267	1_0182	1.00E-54	none
11_10006	1_0183	0	none
11_10890	1_0184	1.00E-101	none
11_21126	1_0185	1.00E-168	none
11_20990	1_0186	1.00E-146	none
11_20121	1_0187	9.00E-75	none
11_10279	1_0188	2.00E-56	none
11_20657	1_0189	5.00E-24	none
11_10466	1_0190	2.00E-76	none
12_30072	1_0191	0	none
11_11037	1_0192	1.00E-168	none
12_11463	1_0193	0	none
12_30204	1_0194	1.00E-105	none
11_10434	1_0195	1.00E-120	none
12_11144	1_0196	5.00E-97	none
11_10830	1_0197	1.00E-104	none
11_20550	1_0198	0	none
12_31160	1_0199	1.00E-134	none
11_20434	1_0200	0	none
11_10471	1_0201	6.00E-51	none
11_21192	1_0202	4.00E-88	none
11_11189	1_0203	1.00E-69	none
11_20792	1_0204	5.00E-84	none
11_21446	1_0205	5.00E-42	none
12_10535	1_0206	1.00E-69	none
12_30546	1_0207	0	none
11_20475	1_0208	0	none
12_31163	1_0209	1.00E-124	none
12_11008	1_0210	5.00E-46	none
11_10433	1_0211	8.00E-44	none
11_21373	1_0212	1.00E-143	none
12_31192	1_0213	1.00E-147	none
11_20769	1_0214	1.00E-169	none
11_10396	1_0215	0	none
12_31319	1_0216	1.00E-114	none
11_11277	1_0217	0.000002	none
11_10522	1_0218	0	none
11_20169	1_0219	1.00E-51	none
11_20754	1_0220	0	none
11_10357	1_0221	7.00E-81	none
12_31152	1_0222	0	none
12_21020	1_0223	9.00E-57	none
12_11173	1_0224	0	none
11_20267	1_0225	2.00E-58	none
11_20909	1_0226	9.00E-47	none
11_10111	2_0001	0	none
12_20187	2_0002	8.00E-44	none
12_20613	2_0003	0	none
12_30509	2_0004	0	none
12_30191	2_0005	1.00E-146	none
11_20780	2_0006	1.00E-171	none
11_20921	2_0007	4.00E-22	none
11_20625	2_0008	0	none
11_20220	2_0009	0.00001	none
