barley opa_index	Brach gene	evalue	description
	Bradi1g00200	7.00E-84	none
12_30029	Bradi1g00210	6.00E-110	none
12_31390	Bradi1g00220	8.00E-39	none
	Bradi1g00230	6.00E-63	none
	Bradi1g00240	1.00E-57	none
	Bradi1g00250		none
	Bradi1g00260	2.00E-98	none
12_31076	Bradi1g00270	5.00E-44	none
12_30143	Bradi1g00280	2.00E-67	none
	Bradi1g00290	6.00E-60	none
	Bradi1g00300	2.00E-147	none
	Bradi1g00310		none
	Bradi1g00320	4.00E-16	none
12_30531	Bradi1g00330	4.00E-25	none
	Bradi1g00340		none
	Bradi1g00350	2.00E-58	none
	Bradi1g00360	7.00E-11	none
12_30531	Bradi1g00370	3.00E-47	none
	Bradi1g00380	2.00E-43	none
11_10747	Bradi1g00390	1.00E-37	none
12_30589	Bradi1g00400	5.00E-153	none
	Bradi1g00410	2.00E-51	none
	Bradi1g00420	2.00E-63	none
	Bradi1g00430	3.00E-59	none
	Bradi1g00440	2.00E-31	none
	Bradi1g00450	0	none
	Bradi1g00460	0	none
	Bradi1g00470	6.00E-110	none
12_30958	Bradi1g00480	1.00E-153	none
	Bradi1g00490		none
	Bradi1g00500	2.00E-110	none
	Bradi1g00510	2.00E-104	none
	Bradi1g00520	3.00E-70	none
	Bradi1g00530	1.00E-175	none
	Bradi1g00540	2.00E-18	none
	Bradi1g00550	6.00E-92	none
	Bradi1g00560	0	none
	Bradi1g00570	0	none
	Bradi1g00580	1.00E-72	none
	Bradi1g00590	1.00E-17	none
	Bradi1g00600	9.00E-70	none
	Bradi1g00610	2.00E-123	none
11_20402	Bradi1g00620	4.00E-84	none
	Bradi1g00630		none
	Bradi1g00640		none
	Bradi1g00650	9.00E-20	none
	Bradi1g00660	6.00E-55	none
11_11250	Bradi1g00670	2.00E-18	none
	Bradi1g00680	8.00E-106	none
	Bradi1g00690	9.00E-125	none
11_21024	Bradi1g00700	0	none
	Bradi1g00710	3.00E-90	none
	Bradi1g00720	4.00E-73	none
	Bradi1g00730	0	none
	Bradi1g00740	3.00E-64	none
12_10857	Bradi1g00750	6.00E-88	none
	Bradi1g00760	2.00E-104	none
	Bradi1g00770	8.00E-41	none
	Bradi1g00780	1.00E-30	none
	Bradi1g00790	5.00E-64	none
	Bradi1g00800	4.00E-34	none
	Bradi1g00810	4.00E-62	none
	Bradi1g00820	6.00E-41	none
	Bradi1g00830	8.00E-101	none
	Bradi1g00840	1.00E-27	none
	Bradi1g00850	0	none
	Bradi1g00860	3.00E-147	none
11_10116	Bradi1g00870	4.00E-119	none
	Bradi1g00880	3.00E-22	none
	Bradi1g00890	5.00E-155	none
	Bradi1g00900	5.00E-52	none
	Bradi1g00910	7.00E-38	none
	Bradi1g00920	9.00E-106	none
	Bradi1g00930	5.00E-37	none
	Bradi1g00940	2.00E-126	none
12_31481	Bradi1g00950	4.00E-60	none
	Bradi1g00960	1.00E-60	none
	Bradi1g00970	1.00E-23	none
	Bradi1g00980	1.00E-105	none
12_10732	Bradi1g00990	0	none
	Bradi1g01000	1.00E-35	none
	Bradi1g01010	0	none
	Bradi1g01020	0	none
	Bradi1g01030	1.00E-14	none
12_20335	Bradi1g01040	1.00E-121	none
12_31210	Bradi1g01050	3.00E-83	none
	Bradi1g01060		none
	Bradi1g01070	1.00E-135	none
	Bradi1g01080	1.00E-74	none
	Bradi1g01090	4.00E-156	none
	Bradi1g01100	3.00E-115	none
	Bradi1g01110	4.00E-108	none
	Bradi1g01120		none
12_11192	Bradi1g01130	0	none
	Bradi1g01140	5.00E-115	none
	Bradi1g01150	3.00E-85	none
	Bradi1g01160	1.00E-23	none
11_10401	Bradi1g01170	0	none
	Bradi1g01180	2.00E-110	none
11_20546	Bradi1g01190	6.00E-147	none
	Bradi1g01200	5.00E-115	none
	Bradi1g01210	1.00E-26	none
	Bradi1g01220	4.00E-112	none
	Bradi1g01230	2.00E-110	none
	Bradi1g01240	2.00E-93	none
	Bradi1g01250	3.00E-92	none
	Bradi1g01260	1.00E-48	none
	Bradi1g01270	4.00E-61	none
11_11405	Bradi1g01280	1.00E-53	none
11_21108	Bradi1g01290	9.00E-116	none
	Bradi1g01300	1.00E-37	none
	Bradi1g01310	6.00E-13	none
	Bradi1g01320	4.00E-53	none
	Bradi1g01330	1.00E-65	none
	Bradi1g01340	4.00E-27	none
12_11192	Bradi1g01350	2.00E-95	none
12_20335	Bradi1g01360	8.00E-131	none
	Bradi1g01370	3.00E-77	none
	Bradi1g01380	1.00E-43	none
	Bradi1g01390	5.00E-37	none
	Bradi1g01400	9.00E-32	none
	Bradi1g01410	4.00E-50	none
	Bradi1g01420	0	none
	Bradi1g01430	5.00E-40	none
	Bradi1g01440	1.00E-59	none
	Bradi1g01450	8.00E-55	none
11_11364	Bradi1g01460	3.00E-132	none
	Bradi1g01470	3.00E-46	none
	Bradi1g01480	4.00E-76	none
12_31292	Bradi1g01490	6.00E-97	none
11_21162	Bradi1g01500	1.00E-66	none
	Bradi1g01510	1.00E-147	none
	Bradi1g01520	4.00E-34	none
	Bradi1g01530	2.00E-127	none
	Bradi1g01540	5.00E-39	none
	Bradi1g01550	6.00E-58	none
11_20786	Bradi1g01560	0	none
11_21052	Bradi1g01570	5.00E-54	none
	Bradi1g01580	0	none
	Bradi1g01590		none
11_10310	Bradi1g01600	6.00E-69	none
	Bradi1g01610	3.00E-38	none
	Bradi1g01620	7.00E-76	none
	Bradi1g01630	1.00E-101	none
	Bradi1g01640		none
	Bradi1g01650		none
	Bradi1g01660	6.00E-100	none
	Bradi1g01670	2.00E-161	none
	Bradi1g01680	2.00E-21	none
	Bradi1g01690		none
	Bradi1g01700	0	none
	Bradi1g01710	4.00E-93	none
11_21155	Bradi1g01720	4.00E-88	none
12_21393	Bradi1g01730	4.00E-96	none
	Bradi1g01740	4.00E-98	none
12_31352	Bradi1g01750	6.00E-158	none
	Bradi1g01760	6.00E-150	none
12_30577	Bradi1g01770	4.00E-129	none
	Bradi1g01780	9.00E-47	none
	Bradi1g01790		none
	Bradi1g01800	0	none
	Bradi1g01810		none
	Bradi1g01820	2.00E-16	none
	Bradi1g01830	2.00E-40	none
	Bradi1g01840	0	none
	Bradi1g01850	2.00E-144	none
	Bradi1g01860	6.00E-14	none
	Bradi1g01870	9.00E-153	none
	Bradi1g01880	6.00E-136	none
	Bradi1g01890	3.00E-18	none
	Bradi1g01900	2.00E-117	none
	Bradi1g01910		none
	Bradi1g01920	1.00E-143	none
	Bradi1g01930	0	none
	Bradi1g01940	3.00E-146	none
	Bradi1g01950		none
	Bradi1g01960		none
11_11405	Bradi1g01970	3.00E-51	none
	Bradi1g01980	8.00E-144	none
	Bradi1g01990	5.00E-85	none
	Bradi1g02000	9.00E-98	none
	Bradi1g02010		none
	Bradi1g02020	4.00E-168	none
	Bradi1g02030	6.00E-64	none
	Bradi1g02040		none
	Bradi1g02050	8.00E-32	none
	Bradi1g02060		none
	Bradi1g02070		none
	Bradi1g02080	2.00E-73	none
11_10405	Bradi1g02090	1.00E-141	none
	Bradi1g02100	6.00E-97	none
	Bradi1g02110	2.00E-98	none
	Bradi1g02120	3.00E-68	none
	Bradi1g02130	6.00E-29	none
	Bradi1g02140	2.00E-22	none
	Bradi1g02150	3.00E-104	none
11_11502	Bradi1g02160	0	none
11_10236	Bradi1g02170	9.00E-126	none
	Bradi1g02180	5.00E-49	none
	Bradi1g02190	1.00E-53	none
	Bradi1g02200	3.00E-22	none
	Bradi1g02210	4.00E-175	none
	Bradi1g02220	2.00E-22	none
	Bradi1g02230	6.00E-49	none
	Bradi1g02240	2.00E-148	none
	Bradi1g02250	9.00E-143	none
	Bradi1g02260	1.00E-168	none
	Bradi1g02270	3.00E-129	none
	Bradi1g02280	2.00E-64	none
	Bradi1g02290	2.00E-143	none
	Bradi1g02300		none
	Bradi1g02310	1.00E-112	none
	Bradi1g02320	1.00E-31	none
	Bradi1g02330		none
	Bradi1g02340	3.00E-61	none
	Bradi1g02350	3.00E-91	none
	Bradi1g02360	7.00E-37	none
	Bradi1g02370	4.00E-42	none
	Bradi1g02380	0	none
	Bradi1g02390	6.00E-75	none
12_30656	Bradi1g02400	9.00E-98	none
	Bradi1g02410	1.00E-54	none
	Bradi1g02420	4.00E-89	none
	Bradi1g02430	4.00E-34	none
	Bradi1g02440	5.00E-150	none
	Bradi1g02450	8.00E-159	none
	Bradi1g02460	7.00E-78	none
	Bradi1g02470		none
	Bradi1g02480		none
	Bradi1g02490	0	none
	Bradi1g02500		none
11_10254	Bradi1g02510	0	none
	Bradi1g02520	2.00E-52	none
	Bradi1g02530	8.00E-102	none
11_11405	Bradi1g02540	9.00E-53	none
	Bradi1g02550	1.00E-62	none
	Bradi1g02560	8.00E-18	none
	Bradi1g02570	7.00E-40	none
12_11010	Bradi1g02580	0	none
12_11450	Bradi1g02590	5.00E-60	none
	Bradi1g02600	2.00E-141	none
	Bradi1g02610	0	none
	Bradi1g02620	4.00E-50	none
12_20816	Bradi1g02630	1.00E-158	none
	Bradi1g02640	1.00E-28	none
	Bradi1g02650	3.00E-28	none
	Bradi1g02660		none
11_20455	Bradi1g02670	4.00E-28	none
	Bradi1g02680	2.00E-132	none
	Bradi1g02690	7.00E-90	none
	Bradi1g02700	0	none
11_20536	Bradi1g02710	3.00E-89	none
12_21009	Bradi1g02720	0	none
	Bradi1g02730	2.00E-159	none
	Bradi1g02740	2.00E-172	none
	Bradi1g02750	2.00E-23	none
	Bradi1g02760	0	none
11_20961	Bradi1g02770	0	none
	Bradi1g02780	1.00E-105	none
	Bradi1g02790	2.00E-59	none
	Bradi1g02800	6.00E-109	none
11_10600	Bradi1g02810	0	none
	Bradi1g02820	4.00E-133	none
	Bradi1g02830	2.00E-69	none
	Bradi1g02840	5.00E-121	none
	Bradi1g02850	2.00E-81	none
	Bradi1g02860		none
	Bradi1g02870		none
	Bradi1g02880	2.00E-84	none
	Bradi1g02890	5.00E-113	none
	Bradi1g02900	1.00E-72	none
	Bradi1g02910	7.00E-166	none
12_21290	Bradi1g02920	3.00E-171	none
12_20867	Bradi1g02930	2.00E-48	none
	Bradi1g02940	2.00E-175	none
11_21440	Bradi1g02950	3.00E-94	none
11_20711	Bradi1g02960	1.00E-164	none
	Bradi1g02970	2.00E-41	none
	Bradi1g02980	9.00E-78	none
	Bradi1g02990	2.00E-175	none
	Bradi1g03000		none
	Bradi1g03010	5.00E-56	none
	Bradi1g03020	9.00E-45	none
	Bradi1g03030	2.00E-123	none
	Bradi1g03040	5.00E-13	none
	Bradi1g03050	5.00E-92	none
12_21449	Bradi1g03060	3.00E-49	none
	Bradi1g03070	4.00E-21	none
	Bradi1g03080		none
	Bradi1g03090	8.00E-46	none
	Bradi1g03100		none
	Bradi1g03110	4.00E-140	none
	Bradi1g03120	4.00E-121	none
	Bradi1g03130	4.00E-115	none
	Bradi1g03140	8.00E-43	none
	Bradi1g03150	3.00E-113	none
	Bradi1g03160	2.00E-125	none
	Bradi1g03170	4.00E-178	none
12_10769	Bradi1g03180	0	none
	Bradi1g03190		none
	Bradi1g03200	2.00E-12	none
12_10678	Bradi1g03210	1.00E-111	none
11_10593	Bradi1g03220	5.00E-78	none
	Bradi1g03230		none
	Bradi1g03240	8.00E-17	none
11_20546	Bradi1g03250	0	none
	Bradi1g03260	0	none
	Bradi1g03270	2.00E-97	none
	Bradi1g03280	2.00E-56	none
	Bradi1g03290	1.00E-113	none
	Bradi1g03300		none
	Bradi1g03310	7.00E-38	none
	Bradi1g03320	3.00E-30	none
	Bradi1g03330		none
	Bradi1g03340	1.00E-17	none
	Bradi1g03350	5.00E-13	none
	Bradi1g03360	5.00E-59	none
	Bradi1g03370	2.00E-39	none
	Bradi1g03380	0	none
	Bradi1g03390	5.00E-21	none
	Bradi1g03400	3.00E-97	none
11_20686	Bradi1g03410	3.00E-34	none
	Bradi1g03420	0	none
	Bradi1g03430		none
	Bradi1g03440	9.00E-128	none
	Bradi1g03450	1.00E-171	none
	Bradi1g03460	1.00E-17	none
	Bradi1g03470	3.00E-118	none
	Bradi1g03480	0	none
	Bradi1g03490	3.00E-117	none
12_10810	Bradi1g03500	3.00E-101	none
	Bradi1g03510	2.00E-34	none
	Bradi1g03520	4.00E-14	none
	Bradi1g03530	5.00E-115	none
	Bradi1g03540	3.00E-90	none
	Bradi1g03550	4.00E-106	none
	Bradi1g03560	4.00E-63	none
	Bradi1g03570	7.00E-120	none
	Bradi1g03580	1.00E-68	none
	Bradi1g03590	0	none
	Bradi1g03600	7.00E-64	none
12_30566	Bradi1g03610	1.00E-135	none
12_31390	Bradi1g03620	1.00E-130	none
	Bradi1g03630		none
	Bradi1g03640	3.00E-92	none
	Bradi1g03650	0	none
	Bradi1g03660	4.00E-85	none
	Bradi1g03670	7.00E-87	none
	Bradi1g03680		none
	Bradi1g03690	7.00E-50	none
	Bradi1g03700	2.00E-52	none
	Bradi1g03710	1.00E-31	none
11_20829	Bradi1g03720	0	none
11_20988	Bradi1g03730	0	none
	Bradi1g03740	1.00E-74	none
	Bradi1g03750	2.00E-64	none
	Bradi1g03760	9.00E-59	none
	Bradi1g03770	9.00E-28	none
	Bradi1g03780	2.00E-30	none
	Bradi1g03790	2.00E-36	none
	Bradi1g03800	0	none
	Bradi1g03810	2.00E-15	none
11_20334	Bradi1g03820	4.00E-92	none
	Bradi1g03830	2.00E-67	none
	Bradi1g03840	7.00E-85	none
	Bradi1g03850	6.00E-64	none
	Bradi1g03860	0	none
	Bradi1g03870		none
	Bradi1g03880	1.00E-129	none
	Bradi1g03890	1.00E-39	none
	Bradi1g03900	3.00E-105	none
11_20934	Bradi1g03910	4.00E-135	none
12_30162	Bradi1g03920	0	none
	Bradi1g03930	1.00E-94	none
	Bradi1g03940	7.00E-160	none
	Bradi1g03950	3.00E-158	none
	Bradi1g03960	8.00E-26	none
11_10617	Bradi1g03970	2.00E-67	none
