chromosome	locus name	start	alias	annotation
1	locus 1_0001	5631	none	none
1	locus 1_0002	9669	none	none
1	locus 1_0003	4162	none	none
1	locus 1_0004	832	none	none
1	locus 1_0005	1651	none	none
1	locus 1_0006	6830	none	none
1	locus 1_0007	1220	none	none
1	locus 1_0008	5231	none	none
1	locus 1_0009	8635	none	none
1	locus 1_0010	5774	none	none
1	locus 1_0011	9805	none	none
1	locus 1_0012	9198	none	none
1	locus 1_0013	3013	none	none
1	locus 1_0014	6281	none	none
1	locus 1_0015	3270	none	none
1	locus 1_0016	9524	none	none
1	locus 1_0017	3520	none	none
1	locus 1_0018	2876	none	none
1	locus 1_0019	9273	none	none
1	locus 1_0020	2091	none	none
1	locus 1_0021	2903	none	none
1	locus 1_0022	3348	none	none
1	locus 1_0023	799	none	none
1	locus 1_0024	8057	none	none
1	locus 1_0025	7287	none	none
1	locus 1_0026	441	none	none
1	locus 1_0027	9695	none	none
1	locus 1_0028	6646	none	none
1	locus 1_0029	5202	none	none
1	locus 1_0030	141	none	none
1	locus 1_0031	3220	none	none
1	locus 1_0032	9400	none	none
1	locus 1_0033	1698	none	none
1	locus 1_0034	9589	none	none
1	locus 1_0035	687	none	none
1	locus 1_0036	5390	none	none
1	locus 1_0037	3234	none	none
1	locus 1_0038	4415	none	none
1	locus 1_0039	2148	none	none
1	locus 1_0040	5064	none	none
1	locus 1_0041	963	none	none
1	locus 1_0042	1813	none	none
1	locus 1_0043	7599	none	none
1	locus 1_0044	135	none	none
1	locus 1_0045	44	none	none
1	locus 1_0046	1836	none	none
1	locus 1_0047	9565	none	none
1	locus 1_0048	747	none	none
1	locus 1_0049	5909	none	none
1	locus 1_0050	4869	none	none
1	locus 1_0051	269	none	none
1	locus 1_0052	5855	none	none
1	locus 1_0053	7344	none	none
1	locus 1_0054	7225	none	none
1	locus 1_0055	5103	none	none
1	locus 1_0056	9777	none	none
1	locus 1_0057	2736	none	none
1	locus 1_0058	6356	none	none
1	locus 1_0059	861	none	none
1	locus 1_0060	3903	none	none
1	locus 1_0061	5115	none	none
1	locus 1_0062	9740	none	none
1	locus 1_0063	6563	none	none
1	locus 1_0064	3929	none	none
1	locus 1_0065	5735	none	none
1	locus 1_0066	6317	none	none
1	locus 1_0067	2742	none	none
1	locus 1_0068	5701	none	none
1	locus 1_0069	9127	none	none
1	locus 1_0070	5971	none	none
1	locus 1_0071	2906	none	none
1	locus 1_0072	7420	none	none
1	locus 1_0073	9013	none	none
1	locus 1_0074	3826	none	none
1	locus 1_0075	1800	none	none
1	locus 1_0076	8667	none	none
1	locus 1_0077	8938	none	none
1	locus 1_0078	8239	none	none
1	locus 1_0079	4029	none	none
1	locus 1_0080	7663	none	none
1	locus 1_0081	684	none	none
1	locus 1_0082	7226	none	none
1	locus 1_0083	2606	none	none
1	locus 1_0084	2242	none	none
1	locus 1_0085	8310	none	none
1	locus 1_0086	6308	none	none
1	locus 1_0087	6457	none	none
1	locus 1_0088	8739	none	none
1	locus 1_0089	7014	none	none
1	locus 1_0090	6995	none	none
1	locus 1_0091	8564	none	none
1	locus 1_0092	6997	none	none
1	locus 1_0093	1280	none	none
1	locus 1_0094	2458	none	none
1	locus 1_0095	7432	none	none
1	locus 1_0096	9379	none	none
1	locus 1_0097	1677	none	none
1	locus 1_0098	7298	none	none
1	locus 1_0099	1026	none	none
1	locus 1_0100	4403	none	none
1	locus 1_0101	7755	none	none
1	locus 1_0102	7758	none	none
1	locus 1_0103	6799	none	none
1	locus 1_0104	7510	none	none
1	locus 1_0105	5141	none	none
1	locus 1_0106	4245	none	none
1	locus 1_0107	6764	none	none
1	locus 1_0108	9858	none	none
1	locus 1_0109	9893	none	none
1	locus 1_0110	5841	none	none
1	locus 1_0111	2080	none	none
1	locus 1_0112	5549	none	none
1	locus 1_0113	5173	none	none
1	locus 1_0114	1579	none	none
1	locus 1_0115	5992	none	none
1	locus 1_0116	2411	none	none
1	locus 1_0117	3322	none	none
1	locus 1_0118	1549	none	none
1	locus 1_0119	7074	none	none
1	locus 1_0120	3446	none	none
1	locus 1_0121	2950	none	none
1	locus 1_0122	3735	none	none
1	locus 1_0123	5214	none	none
1	locus 1_0124	1267	none	none
1	locus 1_0125	6724	none	none
1	locus 1_0126	7838	none	none
1	locus 1_0127	2689	none	none
1	locus 1_0128	6663	none	none
1	locus 1_0129	1324	none	none
1	locus 1_0130	7060	none	none
1	locus 1_0131	1289	none	none
