chromosome	U35 Rice Locus	start	aliases	U35_Rice Description
1	LOC_Os01g32750	19074	null	protein TBP-associated 59 kDa subunit protein, putative, expressed
1	LOC_Os01g22520	16128	null	protein dihydrolipoyl dehydrogenase, mitochondrial precursor, putative, expressed
1	LOC_Os01g16146	18903	null	protein phenazine biosynthesis protein, putative, expressed
1	LOC_Os01g32130	18165	null	protein expressed protein
1	LOC_Os01g14410	15416	null	protein early light-induced protein, chloroplast precursor, putative, expressed
1	LOC_Os01g18050	14336	null	protein tubulin beta-1 chain, putative, expressed
1	LOC_Os01g63800	17369	null	protein pleckstrin homology domain-containing protein 1, putative, expressed
1	LOC_Os01g65094	4617	null	protein expressed protein
1	LOC_Os01g65090	16469	null	protein aspartate aminotransferase, putative, expressed
1	LOC_Os01g64690	19276	null	protein U6 snRNA-associated Sm-like protein LSm3, putative, expressed
1	LOC_Os01g01660	1704	null	protein isoflavone reductase homolog IRL, putative, expressed
1	LOC_Os01g19870	21782	null	protein expressed protein
1	LOC_Os01g16520	16827	null	protein glutamyl-tRNA synthetase, cytoplasmic, putative, expressed
1	LOC_Os01g52390	15299	null	protein plasminogen activator inhibitor 1 RNA-binding protein, putative, expressed
1	LOC_Os01g53280	18402	null	protein 50S ribosomal protein L20, putative, expressed
1	LOC_Os01g48280	1406	null	protein ubiquitin-conjugating enzyme E2 N, putative, expressed
1	LOC_Os01g22490	13742	null	protein 40S ribosomal protein S27a, putative, expressed
1	LOC_Os01g42960	4779	null	protein electron transporter, putative, expressed
1	LOC_Os01g69970	3786	null	protein periodic tryptophan protein 1, putative, expressed
1	LOC_Os01g14590	2375	null	protein pathogen-related protein, putative, expressed
1	LOC_Os01g39780	20940	null	protein expressed protein
1	LOC_Os01g36890	16871	null	protein spliceosome RNA helicase BAT1, putative, expressed
1	LOC_Os01g26920	5737	null	protein expressed protein
1	LOC_Os01g71770	16709	null	protein heterogeneous nuclear ribonucleoprotein 27C, putative, expressed
1	LOC_Os01g21160	3218	null	protein dihydrolipoyllysine-residue acetyltransferase component of pyruvatedehydrogenase complex, putative, expressed
1	LOC_Os01g08650	2416	null	protein expressed protein
1	LOC_Os01g27730	14095	null	protein guanine nucleotide-binding protein-like 3, putative, expressed
1	LOC_Os01g72890	19124	null	protein serine/arginine repetitive matrix protein 1, putative, expressed
1	LOC_Os01g41120	13965	null	protein protein binding protein, putative, expressed
1	LOC_Os01g34614	1921	null	protein DNA-directed RNA polymerases I, II, and III 7.3 kDa polypeptide, putative, expressed
1	LOC_Os01g66230	3518	null	protein csAtPR5, putative, expressed
1	LOC_Os01g65220	14184	null	protein XRN3, putative, expressed
1	LOC_Os01g42120	18708	null	protein expressed protein
1	LOC_Os01g32780	1221	null	protein ethylene-responsive protein, putative, expressed
1	LOC_Os01g74520	19537	null	protein ubiquinone biosynthesis methyltransferase COQ5, mitochondrial precursor, putative, expressed
1	LOC_Os01g08220	19048	null	protein gibberellin 3-beta-dioxygenase 2-2, putative, expressed
1	LOC_Os01g09510	14590	null	protein 60S acidic ribosomal protein P2A, putative, expressed
1	LOC_Os01g01710	17376	null	protein 1-deoxy-D-xylulose 5-phosphate reductoisomerase, chloroplast precursor, putative, expressed
1	LOC_Os01g01790	14665	null	protein expressed protein
1	LOC_Os01g01710	17376	null	protein 1-deoxy-D-xylulose 5-phosphate reductoisomerase, chloroplast precursor, putative, expressed
1	LOC_Os01g01670	4378	null	protein expressed protein
1	LOC_Os01g02120	3015	null	protein OsMFT2 - Rice MFT-Like2 homogous to Arabidopsis Mother of FT and TFL1 gene, expressed
1	LOC_Os01g02139	4975	null	protein expressed protein
1	LOC_Os01g24430	915	null	protein expressed protein
1	LOC_Os01g02600	3295	null	protein Ser/Thr receptor-like kinase, putative, expressed
1	LOC_Os01g02310	2959	null	protein protein kinase/ transmembrane receptor protein serine/threonine kinase, putative, expressed
1	LOC_Os01g02350	3907	null	protein receptor-like kinase ARK1AS, putative, expressed
1	LOC_Os01g02880	15473	null	protein fructose-bisphosphate aldolase, chloroplast precursor, putative, expressed
1	LOC_Os01g02920	3760	null	protein glycosyltransferase, putative, expressed
1	LOC_Os01g02930	15715	null	protein glycosyltransferase, putative, expressed
1	LOC_Os01g04020	2781	null	protein pathogenesis-related genes transcriptional activator PTI6, putative, expressed
1	LOC_Os01g04010	16579	null	protein expressed protein
1	LOC_Os01g03950	16772	null	protein alpha-D-xylosidase, putative, expressed
1	LOC_Os01g03340	482	null	protein Bowman-Birk type bran trypsin inhibitor precursor, putative, expressed
1	LOC_Os01g03710	18300	null	protein mannose-6-phosphate isomerase, putative, expressed
1	LOC_Os01g03950	16772	null	protein alpha-D-xylosidase, putative, expressed
1	LOC_Os01g03730	1098	null	protein nuclease PA3, putative, expressed
1	LOC_Os01g03390	17095	null	protein Bowman-Birk type bran trypsin inhibitor precursor, putative, expressed
1	LOC_Os01g03520	1968	null	protein ubiquitin conjugating enzyme/ ubiquitin-like activating enzyme, putative, expressed
1	LOC_Os01g03549	18775	null	protein copper ion binding protein, putative, expressed
1	LOC_Os01g03510	17334	null	protein stress protein, putative, expressed
1	LOC_Os01g01720	16410	null	protein peroxin Pex14, putative, expressed
1	LOC_Os01g03110	3914	null	protein expressed protein
1	LOC_Os01g03070	14855	null	protein eukaryotic translation initiation factor 3 subunit 10, putative, expressed
1	LOC_Os01g04260	16130	null	protein delta-7-sterol-C5, putative, expressed
1	LOC_Os01g04190	16441	null	protein arabinose-proton symporter, putative, expressed
1	LOC_Os01g04370	14869	null	protein 16.9 kDa class I heat shock protein 1, putative, expressed
1	LOC_Os01g04710	3801	null	protein aspartic proteinase nepenthesin-1 precursor, putative, expressed
1	LOC_Os01g04814	15941	null	protein vacuolar sorting protein 4b, putative, expressed
1	LOC_Os01g04900	2304	null	protein metalloendopeptidase, putative, expressed
1	LOC_Os01g08450	16252	null	protein GTP-binding protein YPTM2, putative, expressed
1	LOC_Os01g04920	6646	null	protein glycosyl transferase, group 1 family protein, putative, expressed
1	LOC_Os01g04950	2635	null	protein peptide transporter PTR2, putative, expressed
1	LOC_Os01g04950	2635	null	protein peptide transporter PTR2, putative, expressed
1	LOC_Os01g05010	17731	null	protein mitochondrial glycoprotein, expressed
1	LOC_Os01g05060	3028	null	protein mitochondrial glycoprotein, expressed
1	LOC_Os01g05490	14505	null	protein triosephosphate isomerase, cytosolic, putative, expressed
1	LOC_Os01g05420	16189	null	protein IWS1 C-terminus family protein, expressed
1	LOC_Os01g05490	50174	null	protein triosephosphate isomerase, cytosolic, putative, expressed
1	LOC_Os01g05420	16189	null	protein IWS1 C-terminus family protein, expressed
1	LOC_Os01g05800	18471	null	protein inner membrane protein ALBINO3, chloroplast precursor, putative, expressed
1	LOC_Os01g05500	2392	null	protein zinc finger in N-recognin family protein, putative, expressed
1	LOC_Os01g05840	16087	null	protein retinol dehydrogenase 11, putative, expressed
1	LOC_Os01g01307	1149	null	protein translocon-associated protein beta containing protein, expressed
1	LOC_Os01g73910	18250	null	protein peptidase M48, Ste24p, putative, expressed
1	LOC_Os01g01307	1149	null	protein translocon-associated protein beta containing protein, expressed
1	LOC_Os01g01312	22926	null	protein retrotransposon protein, putative, Ty1-copia subclass, expressed
1	LOC_Os01g01120	19459	null	protein E-1 enzyme, putative, expressed
1	LOC_Os01g01060	555	null	protein 40S ribosomal protein S5, putative, expressed
1	LOC_Os01g01080	16924	null	protein sphingosine-1-phosphate lyase, putative, expressed
1	LOC_Os01g74650	2213	null	protein cysteine synthase, mitochondrial precursor, putative, expressed
1	LOC_Os01g74650	2213	null	protein cysteine synthase, mitochondrial precursor, putative, expressed
1	LOC_Os01g07590	4032	null	protein universal stress protein family protein, expressed
1	LOC_Os01g07370	3171	null	protein CENP-E like kinetochore protein, putative, expressed
1	LOC_Os01g34700	15806	null	protein protein usf, putative, expressed
1	LOC_Os01g07310	16591	null	protein integral membrane protein like, putative, expressed
1	LOC_Os01g07250	16592	null	protein saposin-like type B, region 1 family protein, expressed
1	LOC_Os01g34700	15806	null	protein protein usf, putative, expressed
1	LOC_Os01g07070	4571	null	protein loricrin, putative, expressed
1	LOC_Os01g06660	783	null	protein pyruvate decarboxylase isozyme 1, putative, expressed
1	LOC_Os01g72430	19088	null	protein NADPH quinone oxidoreductase 1, putative, expressed
1	LOC_Os01g06660	783	null	protein pyruvate decarboxylase isozyme 1, putative, expressed
1	LOC_Os01g10040	19941	null	protein cytochrome P450 90D2, putative, expressed
1	LOC_Os01g09850	5532	null	protein zinc finger, C2H2-type, putative, expressed
1	LOC_Os01g09620	16482	null	protein nucleic acid binding protein, putative, expressed
1	LOC_Os01g09640	3083	null	protein MCB2 protein, putative, expressed
1	LOC_Os01g09560	1200	null	protein mitochondrial-processing peptidase alpha subunit, mitochondrial precursor, putative, expressed
1	LOC_Os01g08700	2003	null	protein GIGANTEA protein, putative, expressed
1	LOC_Os01g08860	15453	null	protein 17.5 kDa class II heat shock protein, putative, expressed
1	LOC_Os01g09010	1198	null	protein 3-N-debenzoyl-2-deoxytaxol N-benzoyltransferase, putative, expressed
1	LOC_Os01g08814	18319	null	protein expressed protein
1	LOC_Os01g08830	3548	null	protein F-box domain containing protein, expressed
1	LOC_Os01g08930	18828	null	protein ATP-dependent RNA helicase rhlE, putative, expressed
1	LOC_Os01g07760	14127	null	protein phospholipase D alpha 1 precursor, putative, expressed
1	LOC_Os01g10840	15917	null	protein shaggy-related protein kinase eta, putative, expressed
1	LOC_Os01g11810	1587	null	protein expressed protein
1	LOC_Os01g10450	19047	null	protein protein kinase, putative, expressed
1	LOC_Os01g11550	5686	null	protein mutant cincinnata, putative, expressed
1	LOC_Os01g11550	5686	null	protein mutant cincinnata, putative, expressed
1	LOC_Os01g11570	18534	null	protein isoamyl acetate-hydrolyzing esterase, putative, expressed
1	LOC_Os01g13770	872	null	protein triose phosphate/phosphate translocator, chloroplast precursor, putative, expressed
1	LOC_Os01g12660	4016	null	protein ATP binding protein, putative, expressed
1	LOC_Os01g12880	17738	null	protein VHS and GAT domain protein, putative, expressed
1	LOC_Os01g13280	3711	null	protein baculoviral IAP repeat-containing protein 6, putative, expressed
1	LOC_Os01g13390	3869	null	protein expressed protein
1	LOC_Os01g13420	4130	null	protein heme-binding protein 2, putative, expressed
