locus barley	locus artificial data	e-value	description
12_30969	locus 1_0001	7.00E-91	none
11_11223	locus 1_0002	6.00E-50	none
11_21354	locus 1_0003	6.00E-25	none
12_11311	locus 1_0004	1.00E-178	none
11_10460	locus 1_0005	6.00E-31	none
12_30715	locus 1_0006	0	none
11_21067	locus 1_0007	1.00E-105	none
11_20502	locus 1_0008	1.00E-112	none
12_31144	locus 1_0009	1.00E-29	none
12_10410	locus 1_0010	0	none
11_10419	locus 1_0011	3.00E-37	none
12_10636	locus 1_0012	0	none
12_11011	locus 1_0013	0	none
12_30933	locus 1_0014	0	none
11_21174	locus 1_0015	5.00E-45	none
11_21226	locus 1_0016	1.00E-180	none
12_31149	locus 1_0017	1.00E-160	none
12_30950	locus 1_0018	1.00E-135	none
12_30919	locus 1_0019	1.00E-121	none
12_30951	locus 1_0020	1.00E-135	none
12_30952	locus 1_0021	1.00E-135	none
12_30918	locus 1_0022	1.00E-121	none
12_30588	locus 1_0023	1.00E-128	none
12_30955	locus 1_0024	0	none
11_10332	locus 1_0025	2.00E-60	none
11_20749	locus 1_0026	0.0000004	none
12_30948	locus 1_0027	0.0000004	none
11_10775	locus 1_0028	3.00E-67	none
11_10030	locus 1_0029	7.00E-70	none
11_20371	locus 1_0030	0	none
12_30876	locus 1_0031	4.00E-37	none
12_30241	locus 1_0032	1.00E-150	none
11_20712	locus 1_0033	0	none
11_10873	locus 1_0034	0	none
11_10186	locus 1_0035	1.00E-109	none
11_10757	locus 1_0036	1.00E-53	none
11_10744	locus 1_0037	1.00E-155	none
11_21048	locus 1_0038	1.00E-45	none
12_31276	locus 1_0039	2.00E-41	none
11_20617	locus 1_0040	1.00E-138	none
11_10760	locus 1_0041	1.00E-134	none
11_10814	locus 1_0042	1.00E-67	none
12_31177	locus 1_0043	1.00E-104	none
12_11357	locus 1_0044	0.000000003	none
11_21072	locus 1_0045	2.00E-84	none
11_10238	locus 1_0046	0	none
12_11498	locus 1_0047	1.00E-148	none
11_10764	locus 1_0048	0	none
12_30336	locus 1_0049	4.00E-46	none
11_10597	locus 1_0050	0	none
11_10275	locus 1_0051	1.00E-106	none
12_30268	locus 1_0052	1.00E-144	none
12_11266	locus 1_0053	0	none
11_20514	locus 1_0054	1.00E-35	none
11_21134	locus 1_0055	1.00E-122	none
12_10314	locus 1_0056	0	none
12_30796	locus 1_0057	1.00E-160	none
11_10294	locus 1_0058	0	none
11_10259	locus 1_0059	3.00E-26	none
11_10526	locus 1_0060	1.00E-88	none
12_31467	locus 1_0061	8.00E-29	none
12_30683	locus 1_0062	0	none
12_10235	locus 1_0063	0	none
11_10957	locus 1_0064	2.00E-73	none
11_11064	locus 1_0065	1.00E-156	none
12_11301	locus 1_0066	1.00E-104	none
11_20855	locus 1_0067	4.00E-69	none
11_10470	locus 1_0068	0	none
12_30438	locus 1_0069	1.00E-105	none
12_10159	locus 1_0070	1.00E-178	none
12_30436	locus 1_0071	0	none
11_11162	locus 1_0072	0	none
12_30762	locus 1_0073	3.00E-92	none
11_11478	locus 1_0074	1.00E-145	none
11_11287	locus 1_0075	0	none
12_30498	locus 1_0076	1.00E-153	none
11_10438	locus 1_0077	4.00E-57	none
12_30562	locus 1_0078	2.00E-30	none
12_10506	locus 1_0079	0	none
11_11336	locus 1_0080	1.00E-102	none
11_20757	locus 1_0081	0	none
12_21408	locus 1_0082	1.00E-176	none
11_20427	locus 1_0083	3.00E-69	none
12_10300	locus 1_0084	7.00E-76	none
12_11036	locus 1_0085	1.00E-84	none
12_30462	locus 1_0086	2.00E-71	none
11_20698	locus 1_0087	1.00E-158	none
12_30043	locus 1_0088	1.00E-158	none
11_20260	locus 1_0089	0	none
12_30404	locus 1_0090	2.00E-96	none
11_21193	locus 1_0091	1.00E-154	none
12_31381	locus 1_0092	0	none
12_31208	locus 1_0093	1.00E-82	none
12_11209	locus 1_0094	3.00E-42	none
12_10938	locus 1_0095	8.00E-89	none
11_11484	locus 1_0096	0	none
11_21357	locus 1_0097	2.00E-92	none
11_10833	locus 1_0098	2.00E-74	none
12_30592	locus 1_0099	0	none
12_30059	locus 1_0100	0	none
11_21312	locus 1_0101	0	none
12_31134	locus 1_0102	0	none
12_11169	locus 1_0103	1.00E-142	none
11_21000	locus 1_0104	1.00E-142	none
11_20810	locus 1_0105	3.00E-78	none
11_20912	locus 1_0106	3.00E-79	none
12_30350	locus 1_0107	1.00E-131	none
12_30774	locus 1_0108	1.00E-120	none
12_11107	locus 1_0109	0	none
12_30522	locus 1_0110	0	none
11_11359	locus 1_0111	1.00E-143	none
12_11217	locus 1_0112	3.00E-72	none
11_21217	locus 1_0113	1.00E-167	none
12_30786	locus 1_0114	1.00E-45	none
12_30672	locus 1_0115	0	none
11_21361	locus 1_0116	6.00E-79	none
11_10933	locus 1_0117	1.00E-99	none
11_10075	locus 1_0118	3.00E-58	none
11_10293	locus 1_0119	0	none
12_30243	locus 1_0120	0	none
11_11256	locus 1_0121	0	none
12_30110	locus 1_0122	0	none
12_30694	locus 1_0123	3.00E-85	none
11_20798	locus 1_0124	1.00E-133	none
12_30406	locus 1_0125	1.00E-55	none
11_10520	locus 1_0126	3.00E-58	none
11_11326	locus 1_0127	0	none
12_30750	locus 1_0128	1.00E-106	none
12_30499	locus 1_0129	1.00E-118	none
12_30478	locus 1_0130	1.00E-157	none
12_30348	locus 1_0131	1.00E-110	none
12_30710	locus 1_0132	4.00E-76	none
11_10324	locus 1_0133	1.00E-179	none
12_10198	locus 1_0134	1.00E-130	none
