feature_name1	feature_name2	evidence	is_enabled
1016-376	LOC_Os01g18050	blast:0	1
2124-984	LOC_Os01g18070	blast:1.00E-133	1
337-641	LOC_Os01g18080	blast:4.00E-21	1
828-545	LOC_Os01g18860	blast:0	1
2856-415	LOC_Os01g03060	blast:1.00E-100	1
ABC13318	LOC_Os01g21034	blast:1.00E-156	1
5510-1159	LOC_Os01g21160	blast:1.00E-162	1
ABC09278	LOC_Os01g21630	blast:1.00E-148	1
832-1040	LOC_Os01g22010	blast:1.00E-146	1
ABC04337	LOC_Os01g22352	blast:1.00E-144	1
409-1643	LOC_Os01g22520	blast:0	1
2236-773	LOC_Os01g22990	blast:3.00E-58	1
1499-290	LOC_Os01g03340	blast:3.00E-30	1
ConsensusGBS0460-1	LOC_Os01g01290	blast:8.00E-38	1
1835-432	LOC_Os01g24430	blast:8.00E-35	1
2551-2793	LOC_Os01g24680	blast:0	1
4091-726	LOC_Os01g01302	blast:1.00E-110	1
7458-1163	LOC_Os01g03549	blast:0	1
2316-563	LOC_Os01g01307	blast:8.00E-71	1
7044-705	LOC_Os01g03710	blast:1.00E-130	1
4532-720	LOC_Os01g27210	blast:1.00E-103	1
2023-336	LOC_Os01g27260	blast:1.00E-79	1
1056-798	LOC_Os01g27360	blast:1.00E-106	1
5652-419	LOC_Os01g27730	blast:0	1
ABC12999	LOC_Os01g03950	blast:6.00E-64	1
3392-139	LOC_Os01g04040	blast:1.00E-13	1
4342-528	LOC_Os01g33030	blast:1.00E-149	1
3997-796	LOC_Os01g33050	blast:4.00E-76	1
3906-558	LOC_Os01g04260	blast:1.00E-145	1
ConsensusGBS0471-1	LOC_Os01g34330	blast:0	1
4861-640	LOC_Os01g34480	blast:1.00E-151	1
ConsensusGBS0598-1	LOC_Os01g34700	blast:2.00E-76	1
1354-351	LOC_Os01g04370	blast:6.00E-67	1
2617-1234	LOC_Os01g36950	blast:1.00E-135	1
1896-1435	LOC_Os01g37910	blast:0	1
3354-121	LOC_Os01g38510	blast:2.00E-32	1
3886-313	LOC_Os01g04900	blast:0	1
4701-2008	LOC_Os01g04950	blast:0	1
3215-654	LOC_Os01g40570	blast:1.00E-141	1
ABC11783	LOC_Os01g40590	blast:0	1
ABC06381	LOC_Os01g40860	blast:0	1
ABC09978	LOC_Os01g05010	blast:1.00E-106	1
721-102	LOC_Os01g41120	blast:2.00E-13	1
ABC14167	LOC_Os01g41120	blast:4.00E-77	1
5986-634	LOC_Os01g41220	blast:3.00E-63	1
ConsensusGBS0364-1	LOC_Os01g41550	blast:1.00E-135	1
1325-311	LOC_Os01g01060	blast:1.00E-96	1
ABC12986	LOC_Os01g42110	blast:1.00E-106	1
ConsensusGBS0693-4	LOC_Os01g42530	blast:1.00E-111	1
11454-414	LOC_Os01g42960	blast:3.00E-07	1
ABC05866	LOC_Os01g43020	blast:0	1
8469-1036	LOC_Os01g43070	blast:1.00E-115	1
7716-721	LOC_Os01g43330	blast:1.00E-95	1
4213-2378	LOC_Os01g43370	blast:0	1
8383-349	LOC_Os01g43520	blast:0	1
2172-587	LOC_Os01g43710	blast:0	1
3688-1465	LOC_Os01g05420	blast:0	1
2676-256	LOC_Os01g44210	blast:2.00E-63	1
2066-1133	LOC_Os01g44260	blast:1.00E-118	1
1074-992	LOC_Os01g05490	blast:1.00E-122	1
ABC52215	LOC_Os01g05490	blast:3.00E-35	1
7728-341	LOC_Os01g45640	blast:5.00E-26	1
10353-119	LOC_Os01g45900	blast:5.00E-33	1
ConsensusGBS0271-1	LOC_Os01g46250	blast:3.00E-17	1
ABC21245	LOC_Os01g46720	blast:1.00E-101	1
2067-775	LOC_Os01g46980	blast:1.00E-108	1
4627-1463	LOC_Os01g47400	blast:0	1
3177-1362	LOC_Os01g05840	blast:1.00E-155	1
2643-761	LOC_Os01g48280	blast:3.00E-83	1
9481-859	LOC_Os01g48810	blast:8.00E-86	1
ConsensusGBS0137-8	LOC_Os01g05970	blast:1.00E-72	1
650-1107	LOC_Os01g49290	blast:0	1
10126-999	LOC_Os01g49529	blast:1.00E-150	1
2804-1832	LOC_Os01g50030	blast:0	1
ABC06816	LOC_Os01g50460	blast:1.00E-108	1
3305-1246	LOC_Os01g50622	blast:1.00E-149	1
ABC04158	LOC_Os01g50770	blast:0	1
ABC08184	LOC_Os01g50910	blast:5.00E-61	1
ABC14384	LOC_Os01g51360	blast:0	1
ABC06873	LOC_Os01g51380	blast:0	1
ABC18717	LOC_Os01g51890	blast:9.00E-72	1
2616-2560	LOC_Os01g52110	blast:1.00E-152	1
ConsensusGBS0647-4	LOC_Os01g52190	blast:2.00E-39	1
617-167	LOC_Os01g52240	blast:1.00E-139	1
2121-1519	LOC_Os01g52390	blast:1.00E-144	1
1676-557	LOC_Os01g52490	blast:7.00E-65	1
ABC19175	LOC_Os01g52550	blast:0	1
1827-958	LOC_Os01g53520	blast:1.00E-118	1
ABC13107	LOC_Os01g53910	blast:2.00E-79	1
ABC05532	LOC_Os01g06660	blast:0	1
1961-895	LOC_Os01g54030	blast:0	1
ABC10084	LOC_Os01g54300	blast:0	1
3321-2496	LOC_Os01g54560	blast:0	1
2315-702	LOC_Os01g54920	blast:2.00E-78	1
4150-1380	LOC_Os01g55190	blast:0	1
4647-248	LOC_Os01g55220	blast:1.00E-12	1
1176-1547	LOC_Os01g55540	blast:0	1
4844-1737	LOC_Os01g01080	blast:0	1
9018-522	LOC_Os01g07070	blast:1.00E-148	1
ABC06343	LOC_Os01g58114	blast:0	1
3266-570	LOC_Os01g59080	blast:7.00E-63	1
4019-573	LOC_Os01g60230	blast:3.00E-62	1
963-386	LOC_Os01g60410	blast:6.00E-85	1
5224-1560	LOC_Os01g60440	blast:0	1
2500-1514	LOC_Os01g61400	blast:0	1
ConsensusGBS0510-2	LOC_Os01g61580	blast:4.00E-25	1
1435-495	LOC_Os01g61820	blast:1.00E-85	1
5253-1318	LOC_Os01g61970	blast:0	1
ABC18746	LOC_Os01g62600	blast:1.00E-113	1
ABC10632	LOC_Os01g63190	blast:1.00E-128	1
4781-1274	LOC_Os01g63270	blast:0	1
2660-678	LOC_Os01g63410	blast:1.00E-105	1
4528-2080	LOC_Os01g63420	blast:0	1
ABC03043	LOC_Os01g07760	blast:0	1
ABC08077	LOC_Os01g63800	blast:1.00E-69	1
3674-1352	LOC_Os01g64170	blast:1.00E-171	1
3787-1279	LOC_Os01g64280	blast:0	1
5029-1651	LOC_Os01g01710	blast:0	1
2003-563	LOC_Os01g64660	blast:1.00E-179	1
9279-368	LOC_Os01g64690	blast:4.00E-46	1
1291-538	LOC_Os01g64960	blast:1.00E-117	1
868-675	LOC_Os01g65220	blast:2.00E-28	1
3950-1500	LOC_Os01g01720	blast:1.00E-151	1
6716-823	LOC_Os01g66150	blast:1.00E-75	1
6069-304	LOC_Os01g66240	blast:1.00E-102	1
5260-462	LOC_Os01g66330	blast:0	1
ABC14307	LOC_Os01g66360	blast:1.00E-127	1
ABC07496	LOC_Os01g66420	blast:1.00E-133	1
76-1059	LOC_Os01g66940	blast:1.00E-165	1
3635-400	LOC_Os01g68300	blast:3.00E-21	1
191-346	LOC_Os01g68320	blast:1.00E-44	1
ABC08260	LOC_Os01g68450	blast:1.00E-103	1
6402-691	LOC_Os01g68710	blast:2.00E-71	1
ConsensusGBS0450-1	LOC_Os01g69970	blast:0	1
2847-485	LOC_Os01g70170	blast:0	1
ABC05919	LOC_Os01g70200	blast:0	1
ABC01665	LOC_Os01g70270	blast:0	1
ABC13678	LOC_Os01g70310	blast:1.00E-115	1
ConsensusGBS0038-2	LOC_Os01g72320	blast:1.00E-85	1
4403-885	LOC_Os01g72480	blast:1.00E-107	1
7169-713	LOC_Os01g73120	blast:1.00E-141	1
4737-368	LOC_Os01g73140	blast:2.00E-46	1
ABC01868	LOC_Os01g73220	blast:1.00E-136	1
5481-1507	LOC_Os01g73580	blast:0	1
ConsensusGBS0632-3	LOC_Os01g73690	blast:1.00E-168	1
4490-1344	LOC_Os01g08650	blast:7.00E-38	1
6530-670	LOC_Os01g73910	blast:1.00E-139	1
ABC13480	LOC_Os01g74020	blast:3.00E-50	1
3732-2544	LOC_Os01g08700	blast:0	1
6156-1399	LOC_Os01g74650	blast:1.00E-179	1
4531-1013	LOC_Os01g01840	blast:4.00E-42	1
4105-1417	LOC_Os01g09620	blast:1.00E-142	1
8387-187	LOC_Os01g01120	blast:1.00E-93	1
ABC04904	LOC_Os01g11810	blast:1.00E-102	1
ABC13089	LOC_Os01g12660	blast:0	1
ConsensusGBS0587-1	LOC_Os01g12880	blast:1.00E-167	1
2125-1506	LOC_Os01g13770	blast:0	1
ABC03430	LOC_Os01g14410	blast:1.00E-62	1
ConsensusGBS0554-4	LOC_Os01g14590	blast:1.00E-107	1
ABC10847	LOC_Os01g14670	blast:2.00E-99	1
ConsensusGBS0508-1	LOC_Os01g14860	blast:0	1
2913-1920	LOC_Os01g14950	blast:0	1
ABC10667	LOC_Os01g15320	blast:9.00E-52	1
ABC01874	LOC_Os01g15830	blast:1.00E-172	1
