BOPA_C	U35 Rice Locus	U35 Rice E-Score	U35_Rice Description
12_30969	LOC_Os05g01020	7.00E-91	"protein paired amphipathic helix repeat family protein, expressed"
11_11223	LOC_Os09g20010	6.00E-50	"protein SNF1-related protein kinase regulatory subunit beta-2, putative, expressed"
11_21354	LOC_Os05g01020	6.00E-25	"protein paired amphipathic helix repeat family protein, expressed"
12_11311	LOC_Os05g01310	1.00E-178	"protein ankyrin-1, putative, expressed"
11_10460	LOC_Os09g26999	6.00E-31	"protein keratin-associated protein 5-4, putative, expressed"
12_30715	LOC_Os01g32750	0	"protein TBP-associated 59 kDa subunit protein, putative, expressed"
11_21067	LOC_Os05g01240	1.00E-105	"protein AML6, putative, expressed"
11_20502	LOC_Os05g01270	1.00E-112	"protein peptidyl-prolyl cis-trans isomerase, chloroplast precursor, putative, expressed"
12_31144	LOC_Os04g16771	1.00E-29	"protein chloroplast 50S ribosomal protein L2, putative, expressed"
12_10410	LOC_Os05g01470	0	"protein methionine S-methyltransferase, putative, expressed"
11_10419	LOC_Os05g01530	3.00E-37	protein expressed protein
12_10636	LOC_Os04g01690	0	"protein arginine decarboxylase, putative, expressed"
12_11011	LOC_Os05g01600	0	"protein actin-97, putative, expressed"
12_30933	LOC_Os05g01600	0	"protein actin-97, putative, expressed"
11_21174	LOC_Os11g38380	5.00E-45	protein hypothetical protein
11_21226	LOC_Os05g01700	1.00E-180	"protein PXA1, putative, expressed"
12_31149	LOC_Os05g01810	1.00E-160	"protein xylem cysteine proteinase 2 precursor, putative, expressed"
12_30950	LOC_Os05g01970	1.00E-135	"protein NAD-dependent epimerase/dehydratase, putative, expressed"
12_30919	LOC_Os05g51630	1.00E-121	"protein HYP1, putative, expressed"
12_30951	LOC_Os05g01970	1.00E-135	"protein NAD-dependent epimerase/dehydratase, putative, expressed"
12_30952	LOC_Os05g01970	1.00E-135	"protein NAD-dependent epimerase/dehydratase, putative, expressed"
12_30918	LOC_Os05g51630	1.00E-121	"protein HYP1, putative, expressed"
12_30588	LOC_Os02g21240	1.00E-128	"protein ubiquitin-protein ligase, putative, expressed"
12_30955	LOC_Os05g02130	0	"protein ankyrin repeat domain-containing protein 28, putative, expressed"
11_10332	LOC_Os05g02060	2.00E-60	"protein amino acid selective channel protein, putative, expressed"
11_20749	LOC_Os04g51480	0.0000004	protein expressed protein
12_30948	LOC_Os04g51480	0.0000004	protein expressed protein
11_10775	LOC_Os05g02260	3.00E-67	protein expressed protein
11_10030	LOC_Os05g02400	7.00E-70	"protein RNA binding protein, putative, expressed"
11_20371	LOC_Os06g14510	0	"protein glucose-6-phosphate isomerase, cytosolic B, putative, expressed"
12_30876	LOC_Os05g02390	4.00E-37	"protein ZFP16-1, putative, expressed"
12_30241	LOC_Os03g37290	1.00E-150	"protein cytochrome P450 79A1, putative, expressed"
11_20712	LOC_Os05g02650	0	protein expressed protein
11_10873	LOC_Os03g17310	0	"protein calcium-transporting ATPase 2, endoplasmic reticulum-type, putative, expressed"
11_10186	LOC_Os05g02530	1.00E-109	"protein chloride intracellular channel 6, putative, expressed"
11_10757	LOC_Os08g44210	1.00E-53	"protein dihydroneopterin aldolase, putative, expressed"
11_10744	LOC_Os02g21880	1.00E-155	"protein coiled-coil domain-containing protein 94, putative, expressed"
11_21048	LOC_Os05g02420	1.00E-45	protein expressed protein
12_31276	LOC_Os09g04339	2.00E-41	protein expressed protein
11_20617	LOC_Os03g17710	1.00E-138	"protein splicing factor, arginine/serine-rich 6, putative, expressed"
11_10760	LOC_Os05g02820	1.00E-134	protein expressed protein
11_10814	LOC_Os05g02780	1.00E-67	"protein glycine-rich protein A3, putative, expressed"
12_31177	LOC_Os05g03040	1.00E-104	"protein floral homeotic protein APETALA2, putative, expressed"
12_11357	LOC_Os07g22650	0.000000003	"protein xylulokinase, putative, expressed"
11_21072	LOC_Os09g39440	2.00E-84	"protein pyrimidine-specific ribonucleoside hydrolase rihB, putative, expressed"
11_10238	LOC_Os10g35840	0	"protein glutamyl-tRNA reductase, chloroplast precursor, putative, expressed"
